"class_id","lecture_id","class_type","section","course_id","title","major","major_code","term","days","start_time","end_time","location","instructor","url"
"413030201","413030200","DIS","1A","0010A M","AF AMER M10A - History of Africa to 1800","African American Studies","AF AMER","16F","Monday","4pm","4:50pm","Bunche Hall ","","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0010A+M&class_id=413030201&class_no=%20001"
"413030202","413030200","DIS","1B","0010A M","AF AMER M10A - History of Africa to 1800","African American Studies","AF AMER","16F","Monday","4pm","4:50pm","Public Affairs Building ","","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0010A+M&class_id=413030202&class_no=%20001"
"413030203","413030200","DIS","1C","0010A M","AF AMER M10A - History of Africa to 1800","African American Studies","AF AMER","16F","Tuesday","8am","8:50am","Humanities Building ","","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0010A+M&class_id=413030203&class_no=%20001"
"413030204","413030200","DIS","1D","0010A M","AF AMER M10A - History of Africa to 1800","African American Studies","AF AMER","16F","Tuesday","4pm","4:50pm","Royce Hall ","","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0010A+M&class_id=413030204&class_no=%20001"
"413030205","413030200","DIS","1E","0010A M","AF AMER M10A - History of Africa to 1800","African American Studies","AF AMER","16F","Wednesday","4pm","4:50pm","Royce Hall ","","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0010A+M&class_id=413030205&class_no=%20001"
"413030206","413030200","DIS","1F","0010A M","AF AMER M10A - History of Africa to 1800","African American Studies","AF AMER","16F","Thursday","9am","9:50am","Haines Hall ","","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0010A+M&class_id=413030206&class_no=%20001"
"413324201","413324200","DIS","1A","0104A M","AF AMER M104A - Early African American Literature","African American Studies","AF AMER","16F","Wednesday","3pm","3:50pm","Humanities Building Room A40","Pledger, J.M.","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0104A+M&class_id=413324201&class_no=%20001"
"413324202","413324200","DIS","1B","0104A M","AF AMER M104A - Early African American Literature","African American Studies","AF AMER","16F","Wednesday","3pm","3:50pm","Dodd Hall Room 154","Mendoza, R.E.","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0104A+M&class_id=413324202&class_no=%20001"
"413324203","413324200","DIS","1C","0104A M","AF AMER M104A - Early African American Literature","African American Studies","AF AMER","16F","Wednesday","4pm","4:50pm","Humanities Building Room A48","Pledger, J.M.","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0104A+M&class_id=413324203&class_no=%20001"
"413324204","413324200","DIS","1D","0104A M","AF AMER M104A - Early African American Literature","African American Studies","AF AMER","16F","Wednesday","4pm","4:50pm","Haines Hall Room A24","Mendoza, R.E.","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0104A+M&class_id=413324204&class_no=%20001"
