"class_name","class_rating","professor_name","overall","easiness","workload","clarity","helpfulness"
"AERO ST A","5.0","Barry Grady","N/A","N/A","N/A","N/A","N/A"
"AERO ST A","5.0","Ekaterina Moore","N/A","N/A","N/A","N/A","N/A"
"AERO ST A","5.0","Lenard Soriano","5.0","5.0","5.0","5.0","5.0"
"AERO ST 130A","4.8","Francesca Fike","N/A","N/A","N/A","N/A","N/A"
"AERO ST 130A","4.8","Barry Grady","N/A","N/A","N/A","N/A","N/A"
"AERO ST 130A","4.8","Ekaterina Moore","N/A","N/A","N/A","N/A","N/A"
"AERO ST 130A","4.8","Kevin Robling","4.8","1.0","1.0","4.8","4.8"
"AERO ST 1A","4.8","D Carter","N/A","N/A","N/A","N/A","N/A"
"AERO ST 1A","4.8","Victoria Citrowske","4.8","2.8","2.0","5.0","4.7"
"AERO ST 1A","4.8","D Hart","N/A","N/A","N/A","N/A","N/A"
"AERO ST 1A","4.8","Megan Kissinger","N/A","N/A","N/A","N/A","N/A"
"AERO ST 1C","4.7","D Carter","N/A","N/A","N/A","N/A","N/A"
"AERO ST 1C","4.7","Victoria Citrowske","4.7","2.7","2.4","4.7","5.0"
"AERO ST 1C","4.7","Megan Kissinger","N/A","N/A","N/A","N/A","N/A"
"AERO ST 1C","4.7","Ekaterina Moore","N/A","N/A","N/A","N/A","N/A"
"AERO ST 20C","4.7","Victoria Citrowske","4.7","2.4","2.6","4.6","4.9"
"AERO ST 20C","4.7","W Peris","N/A","N/A","N/A","N/A","N/A"
"AERO ST 130C","4.2","Francesca Fike","N/A","N/A","N/A","N/A","N/A"
"AERO ST 130C","4.2","Barry Grady","N/A","N/A","N/A","N/A","N/A"
"AERO ST 130C","4.2","Ekaterina Moore","N/A","N/A","N/A","N/A","N/A"
"AERO ST 130C","4.2","Kevin Robling","4.2","1.0","1.0","5.0","4.8"
"AERO ST 130B","N/A","Francesca Fike","N/A","N/A","N/A","N/A","N/A"
"AERO ST 130B","N/A","Barry Grady","N/A","N/A","N/A","N/A","N/A"
"AERO ST 130B","N/A","Ekaterina Moore","N/A","N/A","N/A","N/A","N/A"
"AERO ST 140A","N/A","W Heuck","N/A","N/A","N/A","N/A","N/A"
"AERO ST 140A","N/A","W Peris","N/A","N/A","N/A","N/A","N/A"
"AERO ST 140B","N/A","W Heuck","N/A","N/A","N/A","N/A","N/A"
"AERO ST 140B","N/A","W Peris","N/A","N/A","N/A","N/A","N/A"
"AERO ST 140B","N/A","Lenard Soriano","N/A","N/A","N/A","N/A","N/A"
"AERO ST 140C","N/A","W Peris","N/A","N/A","N/A","N/A","N/A"
"AF LANG 1C","4.9","K Thompson","4.9","3.3","3.3","4.4","3.9"
"AF LANG 1B","4.8","K Thompson","4.8","3.5","3.5","4.8","4.3"
"AF LANG 1A","4.2","K Thompson","4.2","3.5","3.5","4.8","3.8"
"AFRKAAN 40","4.0","Robert Kirsner","4.0","4.0","3.0","3.0","3.0"
"AFRO-AM M150D","5.0","Scot Brown","5.0","2.5","2.5","3.5","4.2"
"AFRO-AM M173","4.5","Janelle Lawson","4.5","4.8","5.0","4.8","4.8"
"AFRO-AM M173","4.5","Dale Tatum","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M104B","3.6","Caroline Streeter","3.6","4.2","4.4","3.8","3.8"
"AFRO-AM M5","3.6","Darnell Hunt","3.6","2.6","2.4","3.4","3.0"
"AFRO-AM M5","3.6","M Moore","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M166","3.1","H Alim","3.1","2.3","2.1","3.6","3.4"
"AFRO-AM 6","2.6","Negussay Ayele","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM 6","2.6","Kendahl Radcliffe","1.4","2.6","2.4","1.2","1.0"
"AFRO-AM 6","2.6","K Radcliffe","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM 6","2.6","Caroline Streeter","3.8","4.6","4.6","3.6","3.8"
"AFRO-AM C191","N/A","Negussay Ayele","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM C191","N/A","Y Flores-pena","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM C191","N/A","H Nelson","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM C191","N/A","J Tervalon","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM C191","N/A","Paul Vonblum","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM CM112D","N/A","Paul Vonblum","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM CM112F","N/A","Steven Nelson","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M103B","N/A","B Freeman","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M104A","N/A","R Yarborough","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M104C","N/A","Yogita Goyal","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M104C","N/A","William James","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M104C","N/A","H Mullen","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M107","N/A","C Keyes","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M10A","N/A","C Ehret","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M114C","N/A","M Sawyer","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M114E","N/A","Eugene Victor Wolfenstein","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M144","N/A","Dale Tatum","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M145","N/A","Kenneth Burrell","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M154C","N/A","M Sawyer","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M158C","N/A","Gibril Cole","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M158C","N/A","A Lee","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M158C","N/A","Sidney Lemelle","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M158E","N/A","R Hill","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M159P","N/A","K Park","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M164","N/A","M Mahon","N/A","N/A","N/A","N/A","N/A"
"AFRO-AM M165","N/A","G Raley","N/A","N/A","N/A","N/A","N/A"
"AM IND M10","4.3","P Nabokov","4.8","4.6","4.6","4.6","5.0"
"AM IND M10","4.3","Peter Nabokov","N/A","N/A","N/A","N/A","N/A"
"AM IND M10","4.3","Nancy Reifel","3.8","3.8","4.2","2.8","3.5"
"AM IND M161","2.2","Duane Champagne","2.2","1.8","2.4","2.4","2.2"
"AM IND 187","N/A","Randall Akee","N/A","N/A","N/A","N/A","N/A"
"AM IND 187","N/A","Clementine Bordeaux","N/A","N/A","N/A","N/A","N/A"
"AM IND 187","N/A","Christine Samuel-Nakamura","N/A","N/A","N/A","N/A","N/A"
"AM IND C120","N/A","Duane Champagne","N/A","N/A","N/A","N/A","N/A"
"AM IND C120","N/A","D Rivera","N/A","N/A","N/A","N/A","N/A"
"AM IND C121","N/A","Duane Champagne","N/A","N/A","N/A","N/A","N/A"
"AM IND C130","N/A","Duane Champagne","N/A","N/A","N/A","N/A","N/A"
"AM IND C145","N/A","Duane Champagne","N/A","N/A","N/A","N/A","N/A"
"AM IND C170","N/A","F Hodge","N/A","N/A","N/A","N/A","N/A"
"AM IND C170","N/A","N Rosenthal","N/A","N/A","N/A","N/A","N/A"
"AM IND C221","N/A","Duane Champagne","N/A","N/A","N/A","N/A","N/A"
"AM IND M118","N/A","Abel Valenzuela Jr.","N/A","N/A","N/A","N/A","N/A"
"AM IND M18","N/A","Abel Valenzuela Jr.","N/A","N/A","N/A","N/A","N/A"
"AM IND M200D","N/A","Randall Akee","N/A","N/A","N/A","N/A","N/A"
"AM IND M265A","N/A","Angela Riley","N/A","N/A","N/A","N/A","N/A"
"AN N EA CM101B","5.0","Kathlyn Cooney","5.0","2.7","2.7","4.6","4.7"
"AN N EA CM101B","5.0","Deanna Kiser-Go","N/A","N/A","N/A","N/A","N/A"
"AN N EA 19","4.8","Aaron Burke","N/A","N/A","N/A","N/A","N/A"
"AN N EA 19","4.8","Kathlyn Cooney","4.8","3.0","2.0","4.5","5.0"
"AN N EA M168","4.7","Elizabeth Waraksa","4.7","3.3","2.7","4.0","4.4"
"AN N EA 120A","4.6","Emily Cole","N/A","N/A","N/A","N/A","N/A"
"AN N EA 120A","4.6","Kathlyn Cooney","4.7","2.0","2.3","4.4","4.6"
"AN N EA 120A","4.6","Jacco Dieleman","4.4","2.6","2.4","4.6","5.0"
"AN N EA 124","4.5","Kathlyn Cooney","4.5","2.5","2.2","4.5","5.0"
"AN N EA M103A","4.5","Kathlyn Cooney","4.5","2.2","2.8","4.2","4.2"
"AN N EA M103A","4.5","Jacco Dieleman","N/A","N/A","N/A","N/A","N/A"
"AN N EA M103A","4.5","Deanna Kiser-Go","N/A","N/A","N/A","N/A","N/A"
"AN N EA M103A","4.5","Dana Reemes","N/A","N/A","N/A","N/A","N/A"
"AN N EA M103A","4.5","Willemina Wendrich","N/A","N/A","N/A","N/A","N/A"
"AN N EA 130","4.4","Jacco Dieleman","4.7","2.3","2.3","4.6","4.3"
"AN N EA 130","4.4","Elizabeth Waraksa","4.0","2.9","2.9","4.0","4.6"
"AN N EA 99","4.4","Kathlyn Cooney","4.4","2.2","2.6","4.4","4.4"
"AN N EA C266","4.2","Kathlyn Cooney","4.2","2.8","2.2","4.4","4.6"
"AN N EA C266","4.2","Willemina Wendrich","N/A","N/A","N/A","N/A","N/A"
"AN N EA 15","4.0","Kathlyn Cooney","4.0","3.8","3.2","4.4","4.0"
"AN N EA 15","4.0","Jody Washburn","N/A","N/A","N/A","N/A","N/A"
"AN N EA 125A","N/A","Willemina Wendrich","N/A","N/A","N/A","N/A","N/A"
"AN N EA 12W","N/A","Alice Mandell","N/A","N/A","N/A","N/A","N/A"
"AN N EA 12W","N/A","Jennifer Pantoja","N/A","N/A","N/A","N/A","N/A"
"AN N EA 162","N/A","Aaron Burke","N/A","N/A","N/A","N/A","N/A"
"AN N EA 162","N/A","W Dever","N/A","N/A","N/A","N/A","N/A"
"AN N EA 162","N/A","William Schniedewind","N/A","N/A","N/A","N/A","N/A"
"AN N EA 166","N/A","Kathlyn Cooney","N/A","N/A","N/A","N/A","N/A"
"AN N EA 211A","N/A","Jacco Dieleman","N/A","N/A","N/A","N/A","N/A"
"AN N EA 220","N/A","Kathlyn Cooney","N/A","N/A","N/A","N/A","N/A"
"AN N EA 221A","N/A","Jacco Dieleman","N/A","N/A","N/A","N/A","N/A"
"AN N EA 230","N/A","Aaron Burke","N/A","N/A","N/A","N/A","N/A"
"AN N EA 30","N/A","R. Barnard","N/A","N/A","N/A","N/A","N/A"
