"course_id","similar_course_id","score"
"COMM ST M72B","GENDER 10","0.11239218695347128"
"NAV SCI  Z","AERO ST  A","0.5974109031895567"
"NAV SCI  Z","MIL SCI  Z","0.15946086920139307"
"ENGL 181C","ENGL 180","0.18219576789937147"
"ENGL 181C","ENGL 182B","0.13084503786345597"
"CH ENGR 101B","CH ENGR 102A","0.25464173954753994"
"COMM ST 89","CHICANO 89","0.86543345141098971"
"COMM ST 89","SOC GEN 89","0.82299633304018271"
"COMM ST 89","SOCIOL 189","0.11482498793690295"
"MATH 115A","PHYSICS 131","0.11033954149222763"
"COM LIT 191","COM LIT 180SL","0.11231264175782203"
"SOC WLF M104C","CHICANO M106B","0.91382255314188265"
"SOC WLF M104C","GENDER M104C","0.89336739538698096"
"SOC WLF M104C","SOC WLF M108","0.31718360999039935"
"SOC WLF M104C","GRNTLGY M108","0.27262935953113826"
"COM LIT 2CW","COM LIT 4CW","0.1550485431894344"
"JEWISH M150A","JEWISH M151A","0.15597922705081418"
"ETHNMUS 71AW","ETHNMUS 92","0.13795058346472439"
"HIST 187G","HIST 187D","0.88550698598479272"
"HIST 187G","HIST 187E","0.518359702510369"
"HIST 187G","HIST 187C","0.50083283217516594"
"HIST 187E","HIST 187D","0.7251769220028591"
"HIST 187E","HIST 187G","0.518359702510369"
"HIST 187E","HIST 187C","0.44476290512098021"
"HIST 187D","HIST 187G","0.88550698598479272"
"HIST 187D","HIST 187C","0.82065856546037586"
"HIST 187D","HIST 187E","0.7251769220028591"
"HIST 187C","HIST 187D","0.82065856546037586"
"HIST 187C","HIST 187G","0.50083283217516594"
"HIST 187C","HIST 187E","0.44476290512098021"
"COMM ST 150","COMM ST 185","0.26924644751396942"
"COMM ST 150","COMM ST 109","0.16365522579582731"
"COMM ST 150","COMM ST 170","0.1565600021158125"
"COMM ST 156","SOCIOL 182","0.14301133082235373"
"COMM ST 156","COMM ST 158","0.12430139405608991"
"COMM ST 158","COMM ST 170","0.13586600469200183"
"COMM ST 158","COMM ST 185","0.12491867919273487"
"COMM ST 158","COMM ST 156","0.12430139405608991"
"A&O SCI C144","A&O SCI 155","0.21165261684739234"
"A&O SCI C144","EPS SCI 101","0.1023657675779661"
"M E STD 177","JEWISH 177","0.65789707418722176"
"M E STD 177","IRANIAN 187","0.562006652256131"
"M E STD 177","COMM ST 188A","0.34267397974492053"
"M E STD 177","AN N EA C177","0.147512665497254"
"M E STD 177","ART HIS C117B","0.11049084228486426"
"MECH&AE 94","COM SCI 33","0.12531805462814244"
"MECH&AE 94","MECH&AE M20","0.11422203712845379"
"SOC THT 190A","ART 190","0.5886802037200124"
"SOC THT 190A","PHYSICS 190","0.46099258086345413"
"SOC THT 190A","PSYCH 184A","0.30702033927686767"
"BMD RES 10H","MCD BIO 30H","0.40303609137900287"
"THEATER 14B","THEATER 15","0.10761542021063379"
"MCD BIO 138","MCD BIO 144","0.25390119777789377"
"MCD BIO 138","MCD BIO 104AL","0.14978327558678867"
"CIVIC 50SL","SLAVC 87","0.14701797662336369"
"CHICANO 188","AF AMER 188A","0.16602889715084951"
"WL ARTS 19","SOCIOL 19","0.61029486466622063"
"WL ARTS 19","HNRS 19","0.33240431826240274"
"WL ARTS 19","THEATER 19","0.28857373558415661"
"WL ARTS 19","ANTHRO 19","0.28277857718715493"
"WL ARTS 19","COMM ST 19","0.24107656053381593"
"WL ARTS 19","ENGL 19","0.24083429958979333"
"THEATER C155A","THEATER C155D","0.2300787907380607"
"THEATER C155A","THEATER C156B","0.19229262352046103"
"THEATER C155A","THEATER C155E","0.17950625828899947"
"THEATER C155A","THEATER C156F","0.10829349725009686"
"THEATER C155D","THEATER C155A","0.2300787907380607"
"THEATER C155D","THEATER C156B","0.21806604888041367"
"PSYCH M139","DIS STD M139","0.85955208084727497"
"PSYCH M139","DIS STD 138SL","0.22470116977196058"
"ARTS ED M192","MCD BIO 192B","0.14273467635173059"
"ARTS ED M192","ENGL M192","0.1369004782772488"
"ARTS ED M192","CHEM 192D","0.11370468769372583"
"ARTS ED M192","CHEM 192C","0.11370468769372583"
"ARTS ED M192","ENVIRON M192","0.1033700065588085"
"DANCE C109A","DANCE C113A","0.53806121422676567"
"DANCE C109A","DANCE 59","0.18613418811877069"
"GRNTLGY M119O","PSYCH M119O","0.75812313273370491"
"GRNTLGY M119O","GRNTLGY M104C","0.28524983260765291"
"GRNTLGY M119O","SOC WLF M104C","0.23949878130814159"
"GRNTLGY M119O","GRNTLGY M108","0.20901576415839865"
"GRNTLGY M119O","SOC WLF M108","0.17142453331502555"
"GRNTLGY M119O","GENDER M104C","0.12713313768234624"
"EE BIOL 152","EE BIOL 151A","0.15085589788190987"
"EE BIOL 152","EE BIOL 116","0.13721059374212988"
"DANCE 160","DANCE 159","0.28199106943447344"
"HIST M170C","GENDER M170C","0.84355893049188013"
"HIST M170C","GENDER M107A","0.13160681149399917"
"CHICANO 161","CHICANO 177","0.12448613695519706"
"HIST 127C","HIST 121E","0.2590358612600282"
"COMM ST 148","COMM ST 160","0.11408081964127101"
"MATH 98XA","PHYSICS 98XA","0.97272316882450205"
"MATH 98XA","PHYSICS 98XB","0.84915919656004424"
"MATH 98XA","CHEM 98XA","0.78829258478861219"
"MATH 98XA","CHEM 98XB","0.68815663017697537"
"MATH 98XB","PHYSICS 98XB","0.97272316882450205"
"MATH 98XB","PHYSICS 98XA","0.84915919656004424"
"MATH 98XB","CHEM 98XB","0.78829258478861219"
"MATH 98XB","CHEM 98XA","0.68815663017697537"
"MGMT 130A","MGMT 127A","0.2046345770005637"
"CHIN 100B","CHIN 103","0.31583388830314674"
"CHIN 100B","CHIN 150B","0.18911013028142618"
"CHIN 100E","CHIN 103","0.27912741982991562"
"CHIN 100E","CHIN 150B","0.17178484516719994"
"EE BIOL 19","SOCIOL 19","0.19240009071307138"
"EE BIOL 19","WL ARTS 19","0.12840172517310602"
"EE BIOL 19","ANTHRO 19","0.10083580442369765"
"MUSC 60CW","MUSC 160CW","0.11360949033354849"
"FRNCH 121","FRNCH 130","0.63828892863162512"
"FRNCH 121","FRNCH 119","0.15109748979361093"
"FRNCH 121","FRNCH 120","0.12497855632188179"
"FRNCH 120","FRNCH 119","0.65363988210400026"
"FRNCH 120","FRNCH 130","0.18799408230815332"
