"class_id","lecture_id","class_type","section","course_id","title","major","major_code","term","days","start_time","end_time","location","instructor","url"
"413018201","413018200","DIS","1A","AF AMER 6","Trends in Black Intellectual Thought","African American Studies","AF AMER","17W","Wednesday","8am","8:50am","Bunche Hall Room 2156","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0006&class_id=413018201&class_no=%20001"
"413018202","413018200","DIS","1B","AF AMER 6","Trends in Black Intellectual Thought","African American Studies","AF AMER","17W","Monday","3pm","3:50pm","Haines Hall Room A28","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0006&class_id=413018202&class_no=%20001"
"413018203","413018200","DIS","1C","AF AMER 6","Trends in Black Intellectual Thought","African American Studies","AF AMER","17W","Monday","4pm","4:50pm","Haines Hall Room 122","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0006&class_id=413018203&class_no=%20001"
"413018204","413018200","DIS","1D","AF AMER 6","Trends in Black Intellectual Thought","African American Studies","AF AMER","17W","Wednesday","3pm","3:50pm","Slichter Hall Room 2834","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0006&class_id=413018204&class_no=%20001"
"413018205","413018200","DIS","1E","AF AMER 6","Trends in Black Intellectual Thought","African American Studies","AF AMER","17W","Friday","11am","11:50am","Humanities Building Room A48","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0006&class_id=413018205&class_no=%20001"
"413018206","413018200","DIS","1F","AF AMER 6","Trends in Black Intellectual Thought","African American Studies","AF AMER","17W","Friday","9am","9:50am","Haines Hall Room 110","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0006&class_id=413018206&class_no=%20001"
"413361201","413361200","DIS","1A","AF AMER M110B","African American Musical Heritage","African American Studies","AF AMER","17W","Thursday","11am","11:50am","Schoenberg Music Building Room 1344","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0110B+M&class_id=413361201&class_no=%20001"
"413361202","413361200","DIS","1B","AF AMER M110B","African American Musical Heritage","African American Studies","AF AMER","17W","Thursday","12pm","12:50pm","Schoenberg Music Building Room 1344","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0110B+M&class_id=413361202&class_no=%20001"
"413361203","413361200","DIS","1C","AF AMER M110B","African American Musical Heritage","African American Studies","AF AMER","17W","Tuesday","11am","11:50am","Schoenberg Music Building Room 1344","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0110B+M&class_id=413361203&class_no=%20001"
"413361204","413361200","DIS","1D","AF AMER M110B","African American Musical Heritage","African American Studies","AF AMER","17W","Tuesday","12pm","12:50pm","Schoenberg Music Building Room 1344","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0110B+M&class_id=413361204&class_no=%20001"
"413386201","413386200","DIS","1A","AF AMER M114C","African American Political Thought","African American Studies","AF AMER","17W","Wednesday","11am","11:50am","Mathematical Sciences Room 3915H","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0114C+M&class_id=413386201&class_no=%20001"
"413386202","413386200","DIS","1B","AF AMER M114C","African American Political Thought","African American Studies","AF AMER","17W","Wednesday","4pm","4:50pm","Public Affairs Building Room 2242","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0114C+M&class_id=413386202&class_no=%20001"
"413386203","413386200","DIS","1C","AF AMER M114C","African American Political Thought","African American Studies","AF AMER","17W","Wednesday","4pm","4:50pm","Mathematical Sciences Room 5225","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0114C+M&class_id=413386203&class_no=%20001"
"413386204","413386200","DIS","1D","AF AMER M114C","African American Political Thought","African American Studies","AF AMER","17W","Wednesday","5pm","5:50pm","Public Affairs Building Room 2242","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0114C+M&class_id=413386204&class_no=%20001"
"413386205","413386200","DIS","1E","AF AMER M114C","African American Political Thought","African American Studies","AF AMER","17W","Wednesday","5pm","5:50pm","Mathematical Sciences Room 5225","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0114C+M&class_id=413386205&class_no=%20001"
"413386206","413386200","DIS","1F","AF AMER M114C","African American Political Thought","African American Studies","AF AMER","17W","Wednesday","6pm","6:50pm","Public Affairs Building Room 2242","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AF+AMER&crs_catlg_no=0114C+M&class_id=413386206&class_no=%20001"
"105030201","105030200","DIS","1A","AM IND M10","Introduction to American Indian Studies","American Indian Studies","AM IND","17W","Friday","9am","9:50am","Haines Hall Room A78","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AM+IND&crs_catlg_no=0010++M&class_id=105030201&class_no=%20001"
"105030202","105030200","DIS","1B","AM IND M10","Introduction to American Indian Studies","American Indian Studies","AM IND","17W","Friday","10am","10:50am","Rolfe Hall Room 3115","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AM+IND&crs_catlg_no=0010++M&class_id=105030202&class_no=%20001"
"105030203","105030200","DIS","1C","AM IND M10","Introduction to American Indian Studies","American Indian Studies","AM IND","17W","Friday","10am","10:50am","Rolfe Hall Room 3120","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AM+IND&crs_catlg_no=0010++M&class_id=105030203&class_no=%20001"
"105030204","105030200","DIS","1D","AM IND M10","Introduction to American Indian Studies","American Indian Studies","AM IND","17W","Friday","11am","11:50am","Royce Hall Room 166","TA","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AM+IND&crs_catlg_no=0010++M&class_id=105030204&class_no=%20001"
"105030205","105030200","DIS","1E","AM IND M10","Introduction to American Indian Studies","American Indian Studies","AM IND","17W","Friday","11am","11:50am","Rolfe Hall Room 3115","Stewart, K.","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AM+IND&crs_catlg_no=0010++M&class_id=105030205&class_no=%20001"
"105030206","105030200","DIS","1F","AM IND M10","Introduction to American Indian Studies","American Indian Studies","AM IND","17W","Friday","12pm","12:50pm","Rolfe Hall Room 3115","Stewart, K.","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=17W&subj_area_cd=AM+IND&crs_catlg_no=0010++M&class_id=105030206&class_no=%20001"
