"lecture_id","class_type","section","course_id","title","major","major_code","term","description","days","start_time","end_time","location","units","instructor","final_examination_date","final_examination_day","final_examination_time","grade_type","restrictions","impacted_class","level","text_book_url","url"
"102001200","LAB","1","0000A","AERO ST  A - Leadership Laboratory","Aerospace Studies","AERO ST","16F","(Formerly numbered Z.) Laboratory, three hours. Mandatory for and limited to Air Force ROTC cadets. Provides cadets with practical command and staff leadership experiences through performance of various tasks within framework of organized cadet corps. As integral part of aerospace studies curriculum, provides experiences designed to develop leadership potential and serves as orientation to active duty. P/NP grading.","Friday","7:50am","10:50am","Haines Hall Room A18","0.0","Fike, B.A.","None listed","---","Consult instructor for method of evaluation","Passed/ Not Passed","","No","Lower Division","http://ucla.verbacompare.com/compare?catids=16F102001200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AERO+ST&crs_catlg_no=0000A&class_id=102001200&class_no=%20001"
"102048200","LEC","1","0001A","AERO ST 1A - Foundation of U.S. Air Force","Aerospace Studies","AERO ST","16F","Lecture, one hour. Survey course designed to introduce students to U.S. Air Force and Air Force Reserve Officers' Training Corps. Topics include mission and organization of Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, group leadership problems, and introduction to communication skills. P/NP or letter grading.","Friday","12pm","12:50pm","Student Activities Center Room 215","2.0","Cooper, T.J.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","Instructor Consent","No","Lower Division","http://ucla.verbacompare.com/compare?catids=16F102048200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AERO+ST&crs_catlg_no=0001A&class_id=102048200&class_no=%20001"
"102048201","LEC","2","0001A","AERO ST 1A - Foundation of U.S. Air Force","Aerospace Studies","AERO ST","16F","Lecture, one hour. Survey course designed to introduce students to U.S. Air Force and Air Force Reserve Officers' Training Corps. Topics include mission and organization of Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, group leadership problems, and introduction to communication skills. P/NP or letter grading.","Tuesday","9am","9:50am","Student Activities Center Room 215","2.0","Cooper, T.J.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","Instructor Consent","No","Lower Division","http://ucla.verbacompare.com/compare?catids=16F102048201","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AERO+ST&crs_catlg_no=0001A&class_id=102048201&class_no=%20002"
"102107200","LEC","1","0020A","AERO ST 20A - Evolution of U.S. Air Force Air and Space Power","Aerospace Studies","AERO ST","16F","Lecture, one hour. Historical survey of air and space power designed to motivate students to transition from Air Force ROTC cadet to officer candidate. Featured topics include Air Force heritage and leaders; introduction to air and space power through examination of competencies, functions, and doctrines; and continued application of communication skills. P/NP or letter grading.","Friday","11am","11:50am","Student Activities Center Room 215","2.0","Cooper, T.J.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","Instructor Consent","No","Lower Division","http://ucla.verbacompare.com/compare?catids=16F102107200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AERO+ST&crs_catlg_no=0020A&class_id=102107200&class_no=%20001"
"102107201","LEC","2","0020A","AERO ST 20A - Evolution of U.S. Air Force Air and Space Power","Aerospace Studies","AERO ST","16F","Lecture, one hour. Historical survey of air and space power designed to motivate students to transition from Air Force ROTC cadet to officer candidate. Featured topics include Air Force heritage and leaders; introduction to air and space power through examination of competencies, functions, and doctrines; and continued application of communication skills. P/NP or letter grading.","Tuesday","10am","10:50am","Student Activities Center Room 215","2.0","Cooper, T.J.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","Instructor Consent","No","Lower Division","http://ucla.verbacompare.com/compare?catids=16F102107201","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AERO+ST&crs_catlg_no=0020A&class_id=102107201&class_no=%20002"
"102445200","LEC","1","0140A","AERO ST 140A - National Security Affairs/Preparation for Active Duty","Aerospace Studies","AERO ST","16F","Lecture, three hours. Requisites: courses 1A, 1B, 1C, 20A, 20B, 20C. Study of national security processes, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics focus on military as profession, officership, military justice, civilian control of military, preparation for active duty, and current issues affecting military professionalism. Within this structure, continued emphasis on refining communication skills. P/NP or letter grading.","Friday","1pm","3:50pm","Haines Hall Room 220","4.0","Fike, B.A.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","Instructor Consent","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F102445200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AERO+ST&crs_catlg_no=0140A&class_id=102445200&class_no=%20001"
"413030200","LEC","1","0010A M","AF AMER M10A - History of Africa to 1800","African American Studies","AF AMER","16F","(Same as History M10A.) Lecture, three hours; discussion, one hour. Exploration of development of African societies from earliest times to late 18th century. P/NP or letter grading.","Monday, Wednesday","8am","9:15am","Haines Hall ","5.0","","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Lower Division","http://ucla.verbacompare.com/compare?catids=16F413030200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0010A+M&class_id=413030200&class_no=%20001"
"413057200","SEM","1","0019","AF AMER 19 - Fiat Lux Freshman Seminars","African American Studies","AF AMER","16F","Seminar, one hour. Discussion of and critical thinking about topics of current intellectual importance, taught by faculty members in their areas of expertise and illuminating many paths of discovery at UCLA. P/NP grading. Life of Bruin Arthur Ashe, class of 1966, intersects with civil rights movement, rise of tennis in U.S., status of African American athletes, anti-Apartheid movement, and early years of AIDS crisis. By examination of his life through his own words, students increase their understanding of several significant moments in second half of 20th century.","Wednesday","3pm","3:50pm","Powell Library Building Room 270","1.0","Turner, P.A.","None listed","---","Consult instructor for method of evaluation","Passed/ Not Passed","Undergraduate Students Only ","No","Lower Division","http://ucla.verbacompare.com/compare?catids=16F413057200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0019&class_id=413057200&class_no=%20001"
"413057201","SEM","2","0019","AF AMER 19 - Fiat Lux Freshman Seminars","African American Studies","AF AMER","16F","Seminar, one hour. Discussion of and critical thinking about topics of current intellectual importance, taught by faculty members in their areas of expertise and illuminating many paths of discovery at UCLA. P/NP grading. Academic Advancement Program (AAP) is not simply university academic program. It is one of largest student enrichment and retention programs in any leading research institution in U.S. Any meaningful overview of program, therefore, cannot simply offer straightforward, programmatically focused history; but must place program evolution squarely in context of history of student diversity and affirmative action at UCLA. Topics include AAP origins, 1964-1973; quiescent years, 1974-1981; UCLA and cultural diversity, 1982-1988; AAP fragmentation, 1985-86; AAP restructuring, 1986-1988; AAP post-Bakke, 1988-1996; and AAP post-Proposition 209, 1996 to present.","Tuesday","12pm","12:50pm","Campbell Hall Room 1224","1.0","Alexander, C.J.","None listed","---","Consult instructor for method of evaluation","Passed/ Not Passed","Undergraduate Students Only ","No","Lower Division","http://ucla.verbacompare.com/compare?catids=16F413057201","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0019&class_id=413057201&class_no=%20002"
"413312200","LEC","1","0102  M","AF AMER M102 - Culture, Media, and Los Angeles","African American Studies","AF AMER","16F","(Same as Asian American Studies M160 and Honors Collegium M102.) Lecture, four hours; screenings, two hours. Designed for juniors/seniors. Role of media in society and its influence on contemporary cultural environment, specifically in Los Angeles; issues of representation as they pertain to race, ethnicity, gender, and sexuality. P/NP or letter grading.","Tuesday, Thursday","12:30pm","1:45pm","Haines Hall Room A2","6.0","Lewis, L.I.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413312200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0102++M&class_id=413312200&class_no=%20001"
"413324200","LEC","1","0104A M","AF AMER M104A - Early African American Literature","African American Studies","AF AMER","16F","(Same as English M104A.) Lecture, four hours; discussion, one hour (when scheduled). Enforced requisite: English Composition 3 or 3H. Introductory survey of African American literature from 18th century through World War I, includingoral and written forms (folktales, spirituals, sermons; fiction, poetry, essays), by authors such as Phillis Wheatley, Frances Harper, Frederick Douglass, Harriet Jacobs, Charles Chesnutt, Booker T. Washington, and Pauline Hopkins. P/NP or letter grading.","Monday, Wednesday","11am","12:15pm","Dodd Hall Room 161","5.0","Yarborough, R.A.","December 9, 2016","Friday","11:30am-2:30pm","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413324200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0104A+M&class_id=413324200&class_no=%20001"
