"course_id","operator","requisite_course_id_1","requisite_course_id_2"
"PSYCH 100B","AND","PSYCH 100A",""
"ASTR 115","AND","MATH 33A",""
"HIST 96W","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"FRNCH 5","AND","FRNCH 4",""
"ENGL 182B","AND","ENGL 10B",""
"FRNCH 2","AND","FRNCH 1",""
"COMM ST 188SB","AND","COMM ST 188SA",""
"EE BIOL 151B","AND","LIFESCI 1",""
"ITALIAN 100","AND","ITALIAN 6",""
"EE BIOL 100L","AND","LIFESCI 1",""
"PSYCH 137C","AND","PSYCH 10",""
"MGMT 231E","AND","MGMT 403",""
"JAPAN 154","OR","ENGCOMP 3","English as A Second Language 36"
"POL SCI M105","AND","ECON 11",""
"MIMG 102","AND","LIFESCI 3",""
"ENGL 180R","AND","ENGL 10C",""
"MUSC 106B","AND","MUSC 120C",""
"ANTHRO C144","OR","ANTHRO 33","AM IND 10"
"PSYCH 118","AND","PSYCH 115",""
"EE BIOL 153","AND","CHEM 20L",""
"MATH 170A","AND","MATH 32B",""
"AN N EA 10W","OR","ENGCOMP 3","Satisfaction on Entry-Level Writing Requirement"
"ENGL M105B","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"PSYCH 194A","AND","PSYCH 195A",""
"BIOENGR C185","AND","CHEM 20B",""
"ENGL 140A","AND","ENGL 10B",""
"PORTGSE 26","OR","PORTGSE 3","PORTGSE 11B"
"PHYSICS 87","OR","PHYSICS 6C","PHYSICS 1A"
"DESMA 157","AND","Design / Media Arts 28",""
"COM SCI 188SB","AND","COM SCI 188SA",""
"CHEM C215B","AND","CHEM 113A",""
"LATIN 3","OR","LATIN 2","LATIN 14"
"ECON 141","AND","MATH 32A",""
"SPAN 135","AND","SPAN 25",""
"STATS 140SL","AND","STATS 100B",""
"PSYCH 120B","AND","PSYCH 10",""
"PHYSCI 187A","AND","NEUROSC M101B",""
"SPAN M155A","OR","SPAN 25","SPAN 27"
"THEATER C163D","AND","THEATER 163A",""
"THEATER C404I","AND","THEATER 14C",""
"FRNCH 4","AND","FRNCH 3",""
"CHEM 14C","AND","CHEM 14B",""
"PHYSICS 17","AND","PHYSICS 1B",""
"STATS 100A","AND","MATH 33A",""
"GE CLST 70B","AND","GE CLST 70A",""
"DIS STD 198A","OR","DIS STD 101","DIS STD 101W"
"FILM TV 410E","AND","FILM TV 401",""
"ITALIAN 4","AND","ITALIAN 3",""
"EDUC M190SL","AND","EDUC M104",""
"NURSING 171","AND","NURSING 161",""
"SOCIOL 289A","AND","SOCIOL 244B",""
"COM SCI 112","OR","EL ENGR 131A","MATH 170A"
"PHILOS C127A","AND","PHILOS 31",""
"PHYSICS 17","AND","MATH 32A",""
"SPAN 160","AND","SPAN 25",""
"CH ENGR 107","OR","CH ENGR 103","CH ENGR C125"
"STATS M171","OR","STATS 12","STATS 13"
"CHICANO M105B","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"ECON 170","AND","ECON 101",""
"EL ENGR 113DA","AND","EL ENGR 113",""
"A&O SCI 145","AND","PHYSICS 1A",""
"MCD BIO CM156","AND","LIFESCI 3",""
"PSYCH 131","OR","PSYCH 133A","PSYCH 133B"
"PHYSCI CM227","AND","PHYSCI 111B",""
"PSYCH 100A","OR","MATH 2","STATS 10"
"EL ENGR 121B","AND","EL ENGR 2",""
"FILM TV 283B","AND","FILM TV 283A",""
"NEUROSC M101B","OR","NEUROSC M101A","PSYCH 115"
"EPIDEM M211","AND","EPIDEM 200C",""
"NURSING 208","AND","NURSING 206",""
"A&O SCI 145","OR","PHYSICS 1C","PHYSICS 6A"
"MECH&AE 103","AND","MATH 33A",""
"CHEM C165","AND","CHEM 153A",""
"ECON 141","OR","MATH 170A","STATS 100A"
"PHYSICS 1C","AND","PHYSICS 1B",""
"PSYCH 101","AND","PSYCH 100B",""
"C&EE 142","AND","C&EE 135A",""
"ENGL 188SB","AND","HNRS 101E",""
"ENGL 139","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"FILM TV 52","AND","FILM TV 1A",""
"CHEM 153D","AND","CHEM 153A",""
"PHYSICS 87","AND","LIFESCI 1",""
"MATH 172B","AND","STATS 100B",""
"CHEM 114","OR","CHEM 110B","CHEM C113B"
"ENGL 145","AND","ENGL 10A",""
"ENGL 127","AND","ENGL 10B",""
"EPS SCI 103A","AND","Earth and Space Sciences 51",""
"IL AMER M15B","AND","Indigenous Languages of the Americas M15A",""
"COM LIT 2DW","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"LIFESCI 192B","AND","LIFESCI 23L",""
"CHIN 5A","AND","CHIN 4A",""
"STATS 201B","AND","STATS 200A",""
"BIOENGR C185","AND","CHEM 20L",""
"MATH 105B","AND","MATH 131A",""
"PSYCH 133A","AND","PSYCH 10",""
"PHYSCI M145","OR","PHYSCI 111A","PHYSCI M180A"
"LATIN 2","AND","LATIN 1",""
"BIOENGR 100","AND","MATH 32A",""
"CLASSIC M146B","AND","CLASSIC M146A",""
"CH ENGR C212","AND","CH ENGR 101A",""
"PSYCH 112D","AND","PSYCH 100A",""
"CHEM C215B","AND","MATH 31A",""
"ENGL 184","AND","ENGL 10C",""
"MGMT 267","AND","MGMT 411",""
"ENV HLT 209","AND","ENV HLT C200A",""
"PHYSICS 87","AND","PHYSICS 6B",""
"A&O SCI C144","AND","Atmospheric and Oceanic Sciences 101",""
"ENGL 169","AND","ENGL 10B",""
"THEATER C156A","AND","THEATER 147A",""
"LING 130","OR","LING 119B","LING 120B"
"ENGL 127","AND","ENGL 10A",""
"GEOG 174","AND","GEOG 169",""
"PSYCH M117B","OR","PSYCH M117A","PSYCH 115"
"COM SCI M185","AND","MATH 33A",""
"CHEM 20B","AND","MATH 31A",""
"CHEM 20L","OR","CHEM 20A","CHEM 20AH"
"CHEM 113A","AND","MATH 32B",""
"PHYSICS 1A","AND","MATH 31B",""
"CHEM C215B","OR","CHEM C115A","PHYSICS 115B"
"NURSING 439D","AND","NURSING 439C",""
"EL ENGR 110","AND","EL ENGR 10",""
"CHEM 192A","OR","CHEM 14CL","CHEM 20L"
"THEATER C152B","AND","THEATER 14C",""
"CHEM 30BL","AND","CHEM 30AL",""
"EE BIOL 132","AND","LIFESCI 1",""
"PSYCH 186C","AND","PSYCH 85",""
"KOREA 177","AND","KOREA 50",""
"ASIAN M60W","OR","ENGCOMP 3","English as A Second Language 36"
"MUSC C167","OR","MUSC 164AW","MUSC 164AS"
"CIVIC 188SB","AND","CIVIC 188SA",""
"EE BIOL 170","AND","LIFESCI 23L",""
"ENGL 140B","AND","ENGL 10A",""
"ENGL M105E","OR","ENGCOMP 3","English as A Second Language 36"
"LING 132","OR","LING 119B","LING 120B"
"INF STD 188SB","AND","INF STD 188SA",""
"ENGL 125","OR","ENGCOMP 3","English as A Second Language 36"
"MECH&AE 156A","AND","MECH&AE 82",""
"ECON M134","OR","ECON 41","STATS 12"
"PHYSCI 111A","OR","PHYSICS 1B","PHYSICS 6B"
"EPS SCI 103A","AND","CHEM 20B",""
"CHICANO M105E","OR","ENGCOMP 3","English as A Second Language 36"
"MGMT 124","AND","MGMT 120B",""
"MAT SCI 104","AND","PHYSICS 1A",""
"ETHNMUS 183","AND","ETHNMUS 10A",""
"ENGL 180R","AND","ENGL 10B",""
"ENGL 136","OR","Satisfaction on Entry-Level Writing Requirement","ENGCOMP 3"
"NURSING 216A","AND","NURSING 231",""
"MECH&AE 103","AND","MATH 32B",""
"NURSING 171","AND","NURSING 162D",""
"ASTR 115","AND","PHYSICS 1A",""
"ENGL 171C","AND","ENGL 10B",""
"LING 110","AND","LING 20",""
"THEATER C104I","AND","THEATER 14C",""
"MATH 164","AND","MATH 115A",""
"CHEM C113B","AND","CHEM 113A",""
"SOC WLF 402B","AND","SOC WLF 401A",""
"A&O SCI 2L","AND","Atmospheric and Oceanic Sciences 2",""
"CHEM 20B","AND","MATH 31B",""
"CHEM 14B","AND","CHEM 14A",""
"MECH&AE 105A","AND","CHEM 20B",""
"THEATER C155A","AND","THEATER 147B",""
"MECH&AE 105D","AND","MECH&AE 105A",""
"BMD RES 5HB","AND","BMD RES 5HA",""
"DANCE 117A","AND","DANCE 67A",""
"ETHNMUS 71IW","AND","ETHNMUS 71IF",""
"ECON 103L","AND","ECON 11",""
"MATH 131A","AND","MATH 32B",""
"MGMT 261A","AND","MGMT 411",""
"MUSC 104A","AND","MUSC 120C",""
"COM HLT 292","AND","COM HLT 210",""
"ECON 101","AND","ECON 11",""
"COM HLT M252","AND","COM HLT M287",""
"CHEM 114","AND","CHEM 113A",""
"ANTHRO 124P","AND","ANTHRO 7",""
"MATH 114C","OR","MATH 131A","PHILOS 135"
"JAPAN 154","OR","English as A Second Language 36","COM LIT 1A"
"CHIN 151","OR","COM LIT 1D","Satisfaction on Entry-Level Writing Requirement"
"MUSC 166W","AND","MUSC 66W",""
"CHEM 20A","AND","MATH 31A",""
"MGMT 120A","AND","MGMT 1B",""
"CHEM C143A","AND","CHEM 30",""
"EL ENGR 132A","AND","EL ENGR 131A",""
"MGMT 406","AND","MGMT 403",""
"PSYCH 120B","AND","PSYCH 100A",""
"NEUROSC M145","OR","PHYSCI 111A","NEUROSC M101A"
"PHYSCI 111L","AND","PHYSCI 111B",""
"ECON 131L","AND","ECON 11",""
"MATH 105B","AND","MATH 105A",""
"EL ENGR 111L","AND","EL ENGR 10",""
"FRNCH 6","AND","FRNCH 5",""
"THEATER 174D","AND","THEATER 147A",""
"ENGL 10B","AND","ENGL 10A",""
"MUSC 74B","AND","MUSC 74A",""
"ENGL 129","AND","ENGL 10B",""
"FILM TV C154B","AND","FILM TV 154",""
"NURSING 429D","AND","NURSING 429C",""
"LIFESCI 4","AND","LIFESCI 2",""
"POL SCI 132A","AND","POL SCI 20",""
"STATS M250","AND","EPIDEM 200B",""
"GEOG 168","AND","GEOG 7",""
"ENGL 136","AND","ENGL 4W",""
"FILM TV 484B","AND","FILM TV 484A",""
"EL ENGR 110","AND","EL ENGR 102",""
"A&O SCI 3L","AND","Atmospheric and Oceanic Sciences 3",""
"PSYCH 137C","AND","PSYCH 100A",""
"ENGL 110A","AND","ENGL 10C",""
"C&EE M135C","OR","C&EE 130","MECH&AE 156A"
"MATH 175","AND","MATH 33B",""
"DIS STD 199B","AND","DIS STD 199A",""
"EE BIOL C126","OR","MATH 32A","LIFESCI 30B"
"BIOMATH 299","AND","BIOMATH M260A",""
"SOC GEN M71B","AND","SOC GEN M71A",""
"MATH 135","AND","MATH 33A",""
"MECH&AE 107","AND","EL ENGR 100",""
"MUSC 110B","AND","MUSC 120C",""
"EPS SCI C262","AND","Earth and Space Sciences 150",""
"PSYCH 186B","AND","MATH 31B",""
"PSYCH 186C","AND","PSYCH 10",""
"MATH 151A","AND","MATH 115A",""
"EPS SCI 211","AND","PHYSICS 105A",""
"ENV HLT 454","AND","ENV HLT 255",""
"ECON M135","OR","POL SCI 40","POL SCI 50"
"NEURBIO M227","AND","PHYSCI 111B",""
"GE CLST M1B","AND","GE CLST M1A",""
"MGMT 130A","AND","MGMT 1B",""
"ARMENIA 106B","AND","ARMENIA 105C",""
"GEOG M171","OR","STATS 11","STATS 12"
"ENGL 182B","AND","ENGL 10C",""
"ASIA AM 140SL","OR","ASIA AM 10","ASIA AM 20"
"SPAN 7B","OR","SPAN 3","SPAN 7A"
"HEBREW 103B","AND","HEBREW 102A",""
"PSYCH 124D","AND","PSYCH 100B",""
"ENGL 181C","AND","ENGL 10C",""
"PSYCH 186B","AND","PSYCH 100B",""
"PUB HLT 188SB","AND","HNRS 101E",""
"EL ENGR 101A","AND","MATH 32A",""
"ENGL 153","AND","ENGL 10B",""
"IRANIAN 20B","AND","IRANIAN 20A",""
"MATH 172B","OR","MATH 170B","STATS 100A"
"ARCH&UD M272","AND","URBN PL 220A",""
"PSYCH 121","AND","PSYCH 100B",""
"MATH 184","AND","MATH 31A",""
"PUB PLC 298A","AND","PUB PLC 210",""
"SPAN 25","AND","SPAN 5",""
"PUB PLC 298C","AND","PUB PLC 298B",""
"CHIN 151","OR","English as A Second Language 36","COM LIT 1A"
"ENGL 142","AND","ENGL 10B",""
"HEBREW C240","AND","HEBREW 103C",""
"PHYSCI 111A","AND","LIFESCI 1",""
"CH ENGR 104B","AND","CH ENGR 104A",""
"LING 130","AND","LING 20",""
"EPIDEM 412","AND","EPIDEM 200C",""
"DANCE 67B","AND","DANCE 67A",""
"EL ENGR 170A","AND","EL ENGR 101A",""
"PHYSICS 87","AND","MATH 31B",""
"MCD BIO 138","AND","LIFESCI 4",""
"MIMG 185A","AND","LIFESCI 23L",""
"LIFESCI 4","AND","LIFESCI 23L",""
"SOC GEN 105A","OR","SOC GEN 5","SOC GEN M71A"
"CH ENGR 104D","AND","CH ENGR 101C",""
"WL ARTS C282","AND","WL ARTS 104",""
"ART 148","AND","ART 11E",""
"CHEM 114","AND","CHEM 30AL",""
"COM SCI M185","AND","MATH 32B",""
"NURSING 439A","AND","NURSING 231",""
"CHEM C115B","OR","CHEM C115A","PHYSICS 115B"
"MIMG CM156","AND","LIFESCI 23L",""
"A&O SCI 104","OR","CHEM 14B","CHEM 20B"
"ENGR 185EW","OR","ENGCOMP 3","English as A Second Language 36"
"ENGL 10C","AND","ENGL 4W",""
"MIMG 191H","OR","MIMG 198B","MIMG 198C"
"INDO 5","AND","INDO 4",""
"MUSC C267","OR","MUSC 464B","MUSC 464C"
"EL ENGR 101A","AND","PHYSICS 1C",""
"LATIN 110","AND","LATIN 100",""
"EPS SCI 103A","OR","CHEM 20L","CHEM 14B"
"POL SCI 200C","AND","POL SCI 200A",""
"CHEM 30B","OR","CHEM 30A","CHEM 30AH"
"COM SCI 112","OR","C&EE 110","EL ENGR 131A"
"GEOG 145","OR","GEOG 3","GEOG 4"
"HEBREW C140","AND","HEBREW 103C",""
"ENGR M495J","AND","ENGR M495I",""
"PSYCH 131","AND","PSYCH 10",""
"COM SCI CM122","OR","C&EE 110","EL ENGR 131A"
"LIFESCI 192B","AND","LIFESCI 192A",""
"MATH 269B","AND","MATH 151A",""
"ENGL 184","AND","ENGL 10B",""
"GLBL ST 199A","AND","GLBL ST 191",""
"PSYCH 120A","AND","PSYCH 100A",""
"CHEM C126A","AND","MATH 33B",""
"GE CLST 80B","AND","GE CLST 80A",""
"PSYCH 115","OR","LIFESCI 2","LIFESCI 2"
"ECON 191","AND","ECON 103",""
"HIN","AND","HIN-URD 1",""
"EL ENGR 110","AND","EL ENGR M16",""
"EE BIOL 193","OR","Ecology and Evolutionary Biology 198D","Ecology and Evolutionary Biology 199"
"MECH&AE 105A","AND","MATH 32B",""
"EL ENGR M116C","AND","COM SCI 33",""
"CHEM 30AL","AND","CHEM 20L",""
"ECON M135","OR","POL SCI 30","POL SCI 40"
"EE BIOL 170","OR","PHYSICS 4BL","PHYSICS 6C"
"MUSC C167","OR","MUSC 164CF","MUSC 164CW"
"ARABIC 102B","AND","ARABIC 102A",""
"SOCIOL M72B","AND","SOCIOL M72A",""
"ETHNMUS 129B","AND","ETHNMUS M129A",""
"THEATER 173A","AND","THEATER 14C",""
"PHYSCI 191","AND","PHYSCI 111A",""
"ART HIS C139A","AND","ART HIS 27",""
"NURSING 439D","AND","NURSING 239C",""
"PSYCH 186B","AND","PSYCH 100A",""
"THEATER C104I","AND","THEATER 14B",""
"MUSC C167","OR","MUSC 164AF","MUSC 164AW"
"COM HLT M249L","AND","HLT POL 200A",""
"LIFESCI 3","AND","LIFESCI 2",""
"ENGL 177","AND","ENGL 10A",""
"POL SCI 134","AND","POL SCI 120A",""
"ART HIS C131B","AND","ART HIS 23",""
"MATH 132","AND","MATH 33B",""
"NEUROSC M101B","AND","LIFESCI 3",""
"PSYCH 191BH","AND","PSYCH 191AH",""
"PHYSICS 87","AND","CHEM 20B",""
"MCD BIO 196A","AND","LIFESCI 4",""
"PHYSICS 1C","AND","MATH 32B",""
"PSYCH 115","AND","PSYCH 100A",""
"ECON 106VL","AND","ECON 106V",""
"ASIA AM M191F","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"EL ENGR 101A","AND","MATH 33B",""
"LIFESCI 3","OR","CHEM 14C","CHEM 30A"
"A&O SCI C110","AND","Atmospheric and Oceanic Sciences 101",""
"ECON 187","AND","ECON 11",""
"MATH 131B","AND","MATH 115A",""
"MATH 120A","AND","MATH 33B",""
"ENGL 119","OR","ENGCOMP 3","English as A Second Language 36"
"MUSC 110A","AND","MUSC 20A",""
"EL ENGR 115AL","AND","EL ENGR 115A",""
"LIFESCI 192E","AND","LIFESCI 192D",""
"MATH 188SB","AND","HNRS 101E",""
"PHYSCI 111A","AND","LIFESCI 23L",""
"MCD BIO 193","OR","MCD BIO 198C","MCD BIO 199A"
"NURSING 467","AND","NURSING 461",""
"CHEM 14A","OR","MATH 31A","LIFESCI 30A"
"PSYCH 401","AND","PSYCH 271A",""
"CHIN 110B","AND","CHIN 110A",""
"ENV HLT C185C","OR","ENV HLT C185A","ENV HLT C185B"
"COM HLT M252","AND","HLT POL M236",""
"LING 165A","AND","LING 120A",""
"PHYSCI M180B","AND","LIFESCI 4",""
"EE BIOL 100","AND","LIFESCI 1",""
"LIFESCI 4","OR","CHEM 14C","CHEM 30A"
"PHYSICS 6B","OR","PHYSICS 6A","PHYSICS 6AH"
"ECON M135","AND","ECON 11",""
"EE BIOL 151B","AND","Ecology and Evolutionary Biology 100",""
"PHYSICS 4BL","OR","PHYSICS 1A","PHYSICS 1AH"
"EE BIOL 194B","OR","Ecology and Evolutionary Biology 198C","Ecology and Evolutionary Biology 198D"
"MIMG 180A","AND","MIMG 196A",""
"ITALIAN 2","AND","ITALIAN 1",""
"MUSC 106B","AND","MUSC 123C",""
"NURSING 216A","AND","NURSING 200",""
"SPAN 150","AND","SPAN 25",""
"PHYSCI C127","AND","PHYSCI 111B",""
"EE BIOL 153","AND","CHEM 20B",""
"FILM TV 410E","AND","FILM TV 410A",""
"MIMG 10","OR","MATH 3A","MATH 31A"
"MATH 116","AND","MATH 115A",""
"EDUC M194A","OR","EDUC M182A","EDUC M183A"
"PSYCH M119O","AND","PSYCH 115",""
"EE BIOL C242","OR","MATH 3C","MATH 32A"
"ETHNMUS 71EW","AND","ETHNMUS 71EF",""
"GEOG 174","AND","GEOG 172",""
"ECON 107","AND","ECON 102",""
"MECH&AE 154A","AND","MECH&AE 154S",""
"MATH 33AH","OR","MATH 31B","MATH 32A"
"NURSING 171","AND","NURSING 462",""
"NURSING 171","AND","NURSING 164",""
"A&O SCI 145","AND","PHYSICS 1B",""
"MATH 172B","AND","MATH 170A",""
"NURSING 264","OR","NURSING 418A","NURSING 438A"
"LING 185A","AND","LING 180",""
"EPS SCI 136A","AND","MATH 3A",""
"COM SCI 144","AND","COM SCI 143",""
"THEATER 180","AND","THEATER 101C",""
"GEOG 169","AND","GEOG 7",""
"MATH 171","AND","MATH 33A",""
"MUSC 119B","AND","MUSC 110A",""
"COMPTNG 20A","AND","COMPTNG 10A",""
"EL ENGR 101B","AND","EL ENGR 101A",""
"CHEM 114","AND","CHEM 110A",""
"VIETMSE 2A","AND","VIETMSE 1A",""
"ASTR 115","AND","PHYSICS 1C",""
"PSYCH 131","AND","PSYCH 100B",""
"CHEM 110A","AND","PHYSICS 1A",""
"PSYCH 150","AND","PSYCH 10",""
"MATH 33A","OR","MATH 32A","MATH 3B"
"ETHNMUS 171IW","AND","ETHNMUS 171IF",""
"MATH 106","AND","MATH 31B",""
"EPS SCI C162","AND","Earth and Space Sciences 150",""
"ASIA AM 30W","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"MGMT 122","AND","MGMT 1B",""
"ENGL 4HW","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"MATH 131B","AND","MATH 33B",""
"BIOINFO M260B","OR","BIOSTAT 100A","BIOSTAT 110A"
"KOREA 104B","AND","KOREA 101C",""
"FILM TV 434","AND","FILM TV 431",""
"CHEM 14BL","AND","CHEM 14A",""
"STATS 101B","AND","STATS 101A",""
"STATS M171","OR","STATS 10","STATS 11"
"EE BIOL C126","AND","LIFESCI 1",""
"EDUC M190SL","AND","EDUC M190",""
"PSYCH 401","AND","PSYCH 271B",""
"ENGL 110A","AND","ENGL 10A",""
"MATH 142","AND","MATH 32B",""
"MECH&AE 154B","AND","MECH&AE 154A",""
"ARCH&UD M272","AND","URBN PL 220B",""
"PSYCH 124C","OR","PSYCH 120A","PSYCH 120B"
"EE BIOL 110","AND","LIFESCI 4",""
"EL ENGR 131A","AND","MATH 32B",""
"PSYCTRY M284B","AND","PSYCTRY M284A",""
"BIOENGR CM186","AND","EL ENGR 102",""
"MECH&AE 150A","AND","MECH&AE 82",""
"IL AMER 18B","AND","Indigenous Languages of the Americas 18A",""
"FILM TV 154","AND","FILM TV 101A",""
"SPAN 120","AND","SPAN 25",""
"ECON 103","AND","ECON 11",""
"ASIAN M60W","OR","English as A Second Language 36","Satisfaction on Entry-Level Writing Requirement"
"COM SCI 161","AND","COM SCI 180",""
"STATS 102B","AND","STATS 100B",""
"KOREA 5","AND","KOREA 4",""
